	Sport	Technology	Law	Economy	ESport
kịp	0	1	0	0	1
km	0	0	0	1	0
kỳ	0	0.6666667	0	1	0
kỹ	0	0	0	1	0
kỳ hạn	0	0	0	1	0
kỷ lục	1	0	0	0	0
kỹ lưỡng	0	0	0	1	0
kỹ năng	0	0	0	0	1
kỹ sư	0	1	0	0	0
kỹ thuật	1	0	0	0	0
kỹ thuật số	0	1	0	0	0
kỳ vọng	0.5	0	0	1	0
la	1	0	0	0	0
lá	0	0	0	0	1
là	0.68421054	0.5	0.84210527	1	0.84210527
lạc	1	0	0	1	0
lạc quan	0	1	0	1	0
lãi	0	0	0	1	0
lại	0.5	0.5714286	0.071428575	1	0.71428573
lãi suất	0	0	0	1	0
làm	0.42857143	0.42857143	1	0	0.14285715
lâm	1	0	0.25	0	0
làm chủ	0	0	0	1	0
lạm dụng	0	0	1	0	0
làm gì	0	0.5	0.5	0	1
làm khách	1	0	0	0	0
làm việc	0	1	1	0.5	0
lan	1	0	0	0	0
lần	1	0.5	1	0.25	0.5
lẫn	1	1	0	0	1
lân cận	0	0	0	1	0
lần lượt	0	0	0	0	1
lang	0	0	0	1	0
lạnh	0	1	0	0	0
lãnh đạo	0	1	0	0	0
lập	0	1	0	0	0
lập tức	0	0	0	0	1
lật đổ	0	0	0	0	1
lâu	1	0	0	1	1
lầu	0	1	0	0	0
lâu dài	0	0	0	1	0
lấy	0	0	0	1	1
lệ	0	1	0.5	0	0
lệch	1	0	0	0	0
lên	0.4	1	0.4	1	0.8
lên ngôi	1	0	0	0	0
lệnh	0	1	0	0	0
leo	0	1	0	0	0
lịch sử	0	1	0	0	0
liên	0	0.25	1	0.25	0
liên lạc	0	0	1	0	0
liên quan	0	0	1	0.5	0
liên tiếp	1	0	0	0	0
liên tục	0.5	1	0	1	0.5
liệu	1	1	0	0	0
lĩnh vực	0	0.33333334	0	1	0
lỗ	0	0	0	1	0
loại	1	0	0	0	0.5
loại hình	0	0	0	1	0
loại trừ	0	1	0	0	0
loạt	1	0	0	0	0
lối	1	0	0	0	1
lỗi	0	1	0	0	0
lời	0	0	0.16666667	1	0
lội	0	0	0	0	1
lợi	0	0	0	1	0
lợi dụng	0	0	1	0	0
lợi ích	0	0	1	1	0
lợi nhuận	0	0	0	1	0
lợi thế	0.33333334	0	0	1	0.33333334
lớn	0.10526316	0.15789473	0.05263158	1	0
lòng	1	0	0	0	0
lồng	0	0	0	0	1
lớp	0	0	0	0	1
lọt	0	0	0	0	1
lửa	1	0	0	0	0
lựa chọn	0.6666667	0	0	1	0
luận	0	0	0	1	0
luật	0	0	1	0.5	0
luật hình sự	0	0	1	0	0
luật sư	0	0	1	0	0
luật tố tụng hình sự	0	0	1	0	0
lúc	1	0.5	1	0.5	1
lực	1	0	0	1	0
lúc nào	0	1	0	0	0
lùm	1	0	0	0	0
lưng	0	1	0	0	0
lưới	1	0	0	0	0
luôn	1	0	0.25	0.25	0.25
lương	1	0	1	0	0
lượng	0	0.5	0	1	1
lượt	1	0	0	0	0
lướt sóng	0	0	0	1	0
lưu	0	1	0	0	0
lưu trữ	0	1	0	0	0
luyện tập	1	0	0	0	0
lý	0	0	0	1	0
lý do	0.33333334	0	0	0	1
lý giải	0	0	0	0	1
mà	0.14285715	0.5714286	0.42857143	0.42857143	1
mã	0	1	0	0.16666667	0
mâm	0	0	1	0	0
man	1	0	0	0	0
màn	0	0	0	0	1
mãn	0	0	0	0	1
màn hình	0	1	0	0	0
mang	0.4	0.8	0	1	0.8
mảng	0	1	0	0	0
mạng	0	0.5	0	0	1
mạnh	0	0	0	1	1
mạnh mẽ	0	1	0	0	0
mạnh tay	0	0	0	0	1
mark	0	1	0	0	0
mất	1	1	0.5	0.5	0.5
mắt	0	0	0	0	1
mặt	0.5	0.5	0	1	0.5
mặt bằng	0	0	0	1	0.5
mặt hàng	0	1	1	0	0
mặt trận	1	0	0	0	0
máu	0	0	0	0	1
mẫu	0	1	0	0	0
máu lửa	1	0	0	0	0
máy	0	1	0.5	0	1
mây	0	1	0	0	0
mấy	0	0	0	0	1
máy chủ	0	0	0	0	1
may mắn	0	0	0	0	1
máy tính	0	1	0	0	0
mê	1	0	0	0	0
mệt	1	0	0	0	0
miền	0	0	1	1	1
miễn	0	0	0	0	1
miễn phí	0	0	0	0	1
mình	0.5	0.25	1	0	1
mở	0	1	0.125	0.375	0
mờ ám	0	1	0	0	0
mô hình	0	0	0	1	0
mở rộng	0	0	0.25	1	0
model	0	1	0	0	0
mối	1	0	0	0	0
mỗi	1	0.5	0	1	1
mọi	1	0	0.33333334	0	1
mới	0.2857143	0.5714286	0.5714286	0.2857143	1
mời	0	0	1	0	0
mới đây	0	0	0	0	1
mới lạ	0	0	0	1	0
môi trường	0	1	0	0	0
món	0	0	0	0	1
môn	1	0	0	0	0
mong	0	0	1	0	0
một	0.375	1	0.16666667	0.5	0.8333333
một cách	0	1	0	0	0.5
một chút	0	0	0	0	1
một số	0.5	0.5	1	1	0.5
một vài	0	0	0	1	1
mu	1	0	0	0	0
mua	0	0.1	0	1	0.8
mùa	1	0	0	0.5	1
mua lẻ	0	0	0	0	1
mức	0	0.2	0	1	0.4
mục đích	0	0	0	1	0
mục sở thị	0	0	0	1	0
mục tiêu	0.5	1	0	0	0
mùi	0	0	1	0	0
mũi	1	0	0	0	0
mùi gì	0	0	0	0	1
muốn	1	0.5	0.5	1	1
mỹ	0.2	0.2	0	1	0
mỹ phẩm	0	0	1	0	0
nai	0	0	0	1	0
nam	1	0.09090909	0.36363637	0.4090909	0.45454547
năm	0.7692308	1	0.1923077	0.5	0.07692308
nắm	0	0.16666667	0	1	0
nằm	0	1	0.6666667	0.33333334	0.33333334
năm ngoái	0	0	0	1	0
nằm xuống	0	0	0	0	1
nạn nhân	0	0	1	0	0
nang	0	0	0	1	0
nâng	1	0	0	0	0
năng	1	0	0	0	1
nắng	0	0	0	1	0
nâng cấp	0	1	0	0	0
năng lực	0	0	0	1	0
năng lượng	0	1	0	1	1
nào	0.33333334	0	0.6666667	0.6666667	1
nấu	0	0	0	1	0
nay	0	0	1	0	0
này	0.33333334	1	0.42857143	0.8095238	0.71428573
nảy	0	0	1	0	0.5
nảy lửa	0	0	1	0	0
nên	0.14285715	0.14285715	1	0.5714286	0.2857143
nền	0.1	0	0	1	0
nền tảng	0.33333334	1	0	0	0
neo	0	0	0	1	0
nêu	0	0	1	0	0
nếu	0.2	0.6	0	0	1
ngạc nhiên	0	1	0	0	0
ngậm ngùi	0	0	0	0	1
ngàn	0	1	0	0	0
ngân	0	0	1	0	0
ngần	0	0	1	0	0
ngắn	0	0	0	1	0
ngân hàng	0	0	1	1	0
ngang	0	0	0	1	0
ngành	0	1	0	0	0
ngay	0	0.33333334	0	1	0.6666667
ngày	0.5	1	0.6666667	0.5	0.8333333
ngày càng	0	0	0	1	0.5
ngay lập tức	1	0	0	0	1
ngày mai	1	0	0	0	0
ngày xưa	0	0	1	0	0
nghệ	0	0.2	1	0	0
nghẹt thở	0	0	0	0	1
nghi	0	0	1	0	0
nghĩ	1	0	1	0	1
nghỉ dưỡng	0	0	0	1	0
nghĩa địa	0	0	0	0	1
nghĩa là	0	0	0	0	1
nghĩa vụ	0	0	1	0	0
nghiệm	0	1	0	1	1
nghiêm trọng	0	0	1	0	0
nghiên cứu	0	0	0	1	0
nghìn	0	1	0	0	0
ngờ	0	0	0	0	1
ngoài	1	0	1	1	0
ngoại	0	0	0	1	0
ngoạn mục	0	0	0	0	1
ngôi	0.33333334	0	0	1	0
ngôi vị	1	0	0	0	0
ngọn	0	1	0	0	0
ngôn ngữ	0	0.5	1	0	0
ngừng	1	1	0	0.5	0
ngược	0	0	0	0	1
người	0.9285714	1	0.85714287	0.5714286	0.64285713
nguồn	0.27272728	0.54545456	0.09090909	1	0
nguy cơ	1	0	0	0	0
nguyên	0	0	1	0	0
nguyên nhân	0	0	0	1	0
nhà	0.07692308	0.07692308	0.3846154	1	0.23076923
nhà riêng	1	0	1	0	0
nhà vua	1	0	0	0	0
nhắm	1	1	0	1	0
nhằm	0	0	0	1	0.5
nhân	0	1	0	0	1
nhận	0.33333334	0.33333334	0	1	0.33333334
nhân dân	0	0	1	0	0
nhận diện	0	0	0	1	0
nhận định	0.25	0	0	1	0
nhấn mạnh	0	0	0	1	0
nhân phẩm	0	0	0	0	1
nhàn rỗi	0	0	0	1	0
nhan sắc	0	0	1	0	0
nhân tố	1	0	0	0	0
nhân vật	0	1	0	0	0
nhân viên	0	0.5	1	0	0
nhận xét	1	0	0	0	0
nhanh	0	0.33333334	0	1	0
nhanh chóng	0	0	0	0	1
nhất	1	0.5	0	0.3	0.9
nhặt	1	0	0	0	0
nhất là	1	0	0	0	0
nhau	0	0.33333334	0	0.33333334	1
nhé	0	0	0	0	1
nhì	1	0	0	0	0
nhiệt	0.33333334	0	0	1	0
nhiều	0.875	0.875	0.5	1	0.25
nhiễu loạn	0	0	0	0	1
nhìn	0	1	0	1	0
nhìn nhận	0	0	0	1	0
nhịp	0	0	1	0	0
nhỏ	0.5	0	0	0.5	1
nhớ	1	0	0	0	0
nhờ	0	0.33333334	0	1	0.6666667
nhơn	0	0	0	1	0
như	0.3125	0.875	0.0625	0.8125	1
nhu cầu	0	0	0	1	0
như không	1	0	0	0	0
nhuận	0	0	0	1	0
nhưng	0.375	0.25	0.25	0.375	1
những	0.6666667	0.5	0.11111111	0.6666667	1
nó	0	1	1	0	0
nỏ	0	0	0	0	1
nợ	0	0	0	1	0
nỗ lực	0	1	0	0	0
nói	0.25	0.75	1	1	0.5
nơi	0	1	0	1	0.5
nội	0	0	1	0.90909094	0
nổi bật	0	0	0	1	0
nội bộ	0	0	1	0	0
nội dung	0	0	1	0.5	0
nội thất	0	0	0	1	0
nối tiếp	1	0	0	0	0
nói tóm lại	0	0	0	0	1
nõn	0	0	1	0	0
nóng	0	0	0	1	0
nông	0	0	0	0	1
nồng	0	1	0	0	0
nông dân	0	0	1	0	0
nóng giận	0	0	1	0	0
nụ	0	0	0	0	1
nữ	0	0	1	0	0
nữa	1	0.5	0	0	0.5
nửa	0	1	0	0	0
nức lòng	1	0	0	0	0
núi	0	1	0	0	0
nước	1	0	0.5	0.5	0.5
nước ngoài	1	0	0	0	0
nước nhà	1	0	0	0	0
nuôi	1	0	0	0	0
nút	0	0	0	1	0
ở	0.95454544	0.18181819	0.27272728	0.90909094	1
ơi	0	0	1	0	0
ơn	1	0	0	0	0
ổn	1	0	0	0	1
ổn định	1	1	0	0	0
ông	0.4	0.6	1	0.2	0
ông bà	0	0	1	0	0
ống kính	0	1	0	0	0
pha	1	0	0	0	1
phá	1	1	0	0	0
phải	0.8181818	0.54545456	0.6363636	1	0.8181818
phải chăng	0	1	0	0	0
phái sinh	0	0	1	0	0
phẩm	0	0	1	0	0
phạm	0	0	1	0.5	0
phẩm chất	1	0	0	0	0
phạm tội	0	0	1	0	0
phân	0	0	0	1	0
phấn	0	0	0	0	1
phần	0	0.33333334	0.6666667	0.6666667	1
phản	0	0	1	0	0.5
phân giải	0	1	0	0	0
phản hồi	0	1	0	0	0
phần mềm	0	1	0	0	0
phân phối	1	0	0	1	0
phân tích	1	0	0	0	0
phản ứng	0	1	0	0	0
phản xạ	1	0	0	0	0
pháp luật	0	0	1	0	0
pháp lý	0	0	0	1	0
pháp nhân	0	0	0	1	0
phát	0	0	1	1	1
phát biểu	0	1	0	0	0
phát hành	0	0.33333334	0	1	0.33333334
phát hiện	0	0.33333334	1	0	0
phát sinh	0	0	1	1	0
phát triển	0	0.25	0.125	1	0
phê	0	0	1	0	0
phê chuẩn	0	0	1	0	0
phép	0	0	0	1	1
phi thường	1	0	0	0	0
phía	0	0.14285715	1	0.14285715	0.2857143
phiên	0	0	0.5	1	0
phiên bản	0	1	0	0.5	0.5
phim	0	1	0	0	0
phó	0	0.33333334	1	0.33333334	0
phố	0	0	0	1	0
phối hợp	0	0	1	0	0
phóng	0	1	1	0	0
phòng	1	0	0	0	0
phong cách	0	0	0	1	0
phong độ	1	0	0	0	0
phòng ngự	1	0	0	0	0
phỏng vấn	1	1	0	0	0
phóng viên	0	0	1	0	0
phù	0	0	0	1	0
phủ	0	1	0	0	1
phụ	0	0	1	0	0
phù hợp	1	1	0	1	0
phụ kiện	0	1	0	0	0
phụ nữ	0	0	1	0	0
phụ thuộc	1	1	0	0	0
phúc thẩm	0	0	1	0	0
phụng	0	0	1	0	0
phường	0	0	1	0	0
phượng	1	0	0	0	0
phút giây	0	0	0	0	1
pin	0	1	0	0	0
qua	1	0	0	0.8	0.8
quá	0.2	0.2	0.4	0.6	1
quà	0	0	1	0	0
quả	0	0	0	1	0
qua đời	0	1	0	0	0
qua lại	0	0	0	0	1
quá tội	0	0	1	0	0
quá trình	0	0	1	0.33333334	0.33333334
quan	0	0	1	0	0
quân	1	0	0	0	1
quận	0	0	1	1	0
quan điểm	0	0	1	0	0
quản lý	0	0.5	1	1	0
quan ngại	0	1	0	0	0
quan tâm	0	0	0	1	0
quản trị	0	1	0	0	0
quan trọng	1	0.16666667	0	0.33333334	0.33333334
quán xuyến	1	0	0	0	0
quăng	0	0	0	0	1
quảng bá	0	0	0	1	0
quảng cáo	0	1	0	0	0
quanh	0	0	0	0	1
quay	0.5	0	0	1	0
quê	0	0	1	0	0
quen	0	0	0	0	1
quên	0	1	1	0	0
quen biết	0	0	1	0	0
quen thuộc	1	0	0	0	0
quốc gia	1	0.25	0.25	0.25	0.75
quốc tế	0	0	0	0	1
quy	0	0	0.2	1	0
quý	0	0.75	0	1	0
quy định	0	0	1	0.14285715	0
quy luật	0	0	0	1	0
quy mô	0	0	0	1	0
quyến	0	0	0	0	1
quyền	0	0	1	0.4	0
quyền lợi	0	0	1	0	0
quyền sở hữu	0	0	1	0	0
quyền tác giả	0	0	1	0	0
quyết định	0.8	0.4	1	0	0
quyết liệt	1	0	0	0	0
quỳnh	0	0	1	0	0
ra	0.53846157	0.7692308	1	0.46153846	1
ra đời	0	0	0	0	1
ra mắt	0	1	0	0	1
rà soát	0	0	1	0	0
ra tay	0	0	1	0	0
rắc rối	1	0	0	0	0
rằng	0.5	1	0.33333334	0.33333334	0.16666667
rạng	0	1	0	0	0
rảnh rỗi	0	0	0	0	1
rất	0.33333334	0.22222222	0	1	0.7777778
rẻ	0	1	0	0	0
riêng	1	0	0	0	0
riêng tư	0	1	0	0	0
rõ	0.5	1	0.5	0	0.5
rõ ràng	0	0	0	0	1
rồi	0	0	1	0	0
rơi	0	1	0	0	0
ròng	0	1	0	0.6666667	0
rộng	0	1	0	1	1
rủi ro	0	0	0	1	0
rưỡi	0	1	0	0	0
ruột	0	0	1	0	0
rượu	0	0	0	1	0
rút	0	0	1	0	0
sa	0	0	0	1	0
sạc	0	1	0	0	0
sắc đẹp	0	0	1	0	0
sách	0	1	0	0	0
sai	0	0	1	0	0
sài	0	0	0	1	0
sắm	0	0	0	1	0
sân	1	0	0	0	0
sản	0	0	0	0	1
sân bay	1	0	0	0	0
sân cỏ	1	0	0	0	0
sân khách	1	0	0	0	0
sân khấu	0	0	1	0	0
sân nhà	1	0	0	0	0
sản phẩm	0	0.4	0	1	0.8
sẵn sàng	0	0	0	1	0
sản xuất	0	1	0	0	0
sang	0	0.5	1	1	0
sáng	0.5	1	0.5	0	0.5
sàng	1	0	0	0	0
sáng lập	0	1	0	0	0
sáng suốt	0	1	0	0	0
sáng tạo	0	0	1	1	1
sao	0.5	0	0	1	0.5
sắp	0.5	0.25	0	0.25	1
sáp nhập	0	0	0	1	0
sát hại	0	0	1	0	0
sau	1	0.42857143	0.42857143	1	0.71428573
sâu	0	1	0	1	0
sau cùng	0	0	0	1	0
sẽ	0.6818182	0.4090909	0.09090909	0.3181818	1
sét	0	0	0	0	1
siêu	1	1	0	0	0
siêu sao	1	0	0	0	0
siêu thị	0	0	0	1	0
sinh	0	0	0.4	1	0.2
sinh lợi	0	0	0	1	0
sinh từ	0	0	0	1	0
so	0.4	0.8	0	1	0.6
số	0.8333333	0.16666667	0.33333334	1	0.33333334
sơ	0	0	1	0	0
sổ	0	0	1	0.5	0
sở	0.5	0	0	1	0
sợ	1	0	0	0	0
sơ cấp	0	0	0	1	0
sở hữu	0.5	0.33333334	0.33333334	1	0.16666667
sở hữu trí tuệ	0	0	1	0	0
số liệu	0	0	0	1	0
số lượng	0	0	0	1	0
số một	1	0	0	0	0
số phận	1	0	0	0	0
so sánh	0	0	0	1	0
sơ sẩy	0	0	0	0	1
sổ tay	0	0	0	1	0
sơ thẩm	0	0	1	0	0
sôi	1	0	0	1	0
sớm	0	0	0	0.33333334	1
song	0	0	0	1	0
sống	0	1	0	1	1
sống sót	0	0	0	0	1
sót	0	0	0	1	0
sốt	0	0	0	1	0
sử	0	1	0	1	0
sự	1	0.30769232	0.07692308	0.84615386	0.3846154
sử dụng	0.14285715	0.42857143	0	1	0.42857143
sứ mệnh	1	0	0	0	0
sự nghiệp	0	0	1	0	0
sự thật	0	1	0	0	0
sự việc	0	0	1	0	0
sửa	0	0	1	0	0
sữa tươi	1	0	0	0	0
sục	1	0	0	0	0
sức	0.33333334	0.33333334	0.33333334	0	1
sức khoẻ	0	0	1	0	0
sức mua	0	0	0	1	0
súng	0	0	0	0	1
sút	1	0	0	0	0
sụt giảm	0	1	0	1	0
ta	0.6666667	0	0	0.33333334	1
tác	0	0	1	0	0
tác động	0	1	0	0	0
tác phẩm	0	0.16666667	1	0	0
tái	1	1	0	0	0
tài	0	0	0	1	0
tải	0	0	0	0	1
tại	1	0.5625	1	1	0.375
tài chính	0	0.2	0	1	0
tài liệu	0	0.5	1	0	0
tài năng	0	0	0	0	1
tài nguyên	0	1	0	0	0
tài sản	0	0.6666667	1	1	0
tại sao	0	1	0	0	0
tái tạo	0	1	0	1	0
tài trợ	1	0	0	0	0
tâm	1	0	0	1	0
tấm	1	0.5	0	0	0
tầm	1	0	0	0.5	0
tắm	0	0	1	0	0
tẩm	0	0	1	0	0
tạm	0	0.33333334	1	0	0
tâm lý	0.25	0	0	1	0
tam tấu	1	0	0	0	0
tận	0	0	0	0	1
tấn công	1	0	0	0	0
tận cùng	0	1	0	0	0
tận dụng	0	0	0	0	1
tán dương	1	0	0	0	0
tận tâm	1	0	0	0	0
tận thế	0	1	0	0	0.5
tăng	0	0.2	0	1	0.1
tầng	0	0	0	1	0
tặng	0	0	0	0	1
tăng cường	0	0	1	0	0
tăng giá	0	0	0	1	0
tăng tốc	0	0	0	0	1
tăng trưởng	0.11111111	0.11111111	0	1	0
tạo	1	0.75	0	0.25	0.5
tạo dựng	0	0	1	0	0
tạo lập	0	0	0	1	0
tập đoàn	0	0	0	1	0
tập luyện	1	0	0	0	0
tập trung	1	0	0	0	0
tất	0	0	1	0	0
tắt	0	0	0	0	1
tất cả	0.5	1	0	0	0.5
tất yếu	0	0	0	0	1
tay	0	0	1	1	0
tây	1	0	0	0.16666667	0
tay cầm	0	0	0	0	1
tay vợt	1	0	0	0	0
tệ	0	0	0	0	1
tên	0.18181819	0.09090909	0.09090909	0.09090909	1
tên lửa	0	1	0	0	0
tên tuổi	1	0	0	0	0
test	0	0	0	0	1
thách	0	0	0	1	0
thái	1	0	0	0.14285715	0
thái bình	0	0	1	0	0
thái độ	0	1	0	0	0
thăm	0	0	1	0	0
thậm chí	1	1	0	0	0
thẩm định	0	0	1	0	0
tham gia	0	0	1	1	0
thẩm mỹ	0	0	1	0	0
thẩm quyền	0	0	1	0	0
tham số	0	1	0	0	0
thảm thực vật	0	0	0	1	0
tham vọng	0	1	0	0	0
thân	1	0	0	0	1
thân chủ	0	0	1	0	0
than phiền	0	1	0	0	0
tháng	0.1	1	0.6	0.8	0.6
thắng	1	0	0	0	0
thằng	0	0	0	0	1
thẳng	0	0.5	0	0.5	1
thẳng đứng	0	0	0	1	0
thanh	0	0	0	1	0
thành	0.33333334	0	1	0.6666667	0
thành công	1	0.16666667	0.16666667	0.16666667	0.33333334
thành lập	0	0	1	0	0
thanh lý	0	0	0	1	0
thành phố	0	0	0	1	0
thành tích	1	0	0	0	0
thanh toán	0	0	1	1	0
thành viên	0	0.5	0	0	1
thấp	0	0	0	1	0.5
thập kỷ	1	1	0	0	0
thắt	0	0	0	1	0
thật	0	1	0	0	0
thất bại	1	0	0	0	0
thâu	0	0	0	1	0
thâu tóm	0	0	0	1	0
thay	0.5	1	0	0	0
thấy	0.75	1	0.25	0.75	0.5
thầy	1	0	0	0	0
thay đổi	0	1	0	0.33333334	0.6666667
thay thế	1	0	0	1	0
thay vì	0	0	0	0	1
the	0	0.6666667	0	1	0
thế	1	0.6666667	0	0.33333334	0.6666667
thể	0.5	0	1	0.5	0
thế chân	1	0	0	0	0
thế giới	0.083333336	0.41666666	0	1	0.083333336
thế hệ	1	1	0	0	0
thể hiện	0.6666667	0.33333334	0	0.33333334	1
thể lực	1	0	0	0	0
thế nào	0	1	0	0	0
thể nào	0	0	0	0	1
thêm	0.75	0	0	0.75	1
theo	0.06666667	0.06666667	1	0.6	0.2
theo dõi	1	0.5	0	0.5	0.5
theo đuổi	0	1	0	0	0
thi	0	0	1	0	0
thí	0	1	0	0	0
thì	0	0	1	0	0.75
thị	0	0.33333334	0.33333334	1	0
thi đấu	1	0	0	0	1
thị phần	0	1	0	1	0
thi thoảng	0	0	1	0	0
thị trường	0	0.071428575	0	1	0
thích	0	0	0	1	0
thiên	0	0	0	0	1
thiên nhiên	0	0	0	1	1
thiên thạch	0	1	0	0	0
thiên thần	0	0	0	0	1
thiết bị	0	1	0	0.25	1
thiệt hại	0	0	1	0	0
thiết kế	0	0.5	0	1	0
thiếu	1	1	1	0	1
thiếu niên	1	0	0	0	0
thở	0	0	1	0	1
thoáng	0	0	0	1	0
thôi	0	0	0	0	1
thời	0.5	0.5	0	0.5	1
thời đại	0	1	0	0	0
thời điểm	0.33333334	0.6666667	0.6666667	1	0.6666667
thời gian	0	0.33333334	0.33333334	1	0
thôi thì	0	0	0	0	1
thông	0	0	0	0	1
thống	0	0	0	1	0
thông báo	0	1	0.5	0.5	0
thông cáo	0	0	1	0	0
thông qua	0	1	0	0	0
thông thường	0	0	0	1	0
thông tin	0	0	1	0.33333334	0.33333334
thống trị	1	0	0	1	1
thớt	0	0	0	0	1
thu	0	0.5	1	1	0.5
thú	0	0	0	0	1
thủ	0	0	0	0.25	1
thư	0	0	0	1	0
thứ	0.4	0.6	0	0.6	1
thử	0	1	0	0	0
thứ ba	1	1	0	0	0
thủ đô	0	0	0	1	0
thứ hai	1	0	0.33333334	1	0.33333334
thứ hạng	0	0	0	0	1
thụ hưởng	0	0	0	1	0
thu hút	0	0	0	1	0
thụ lý	0	0	1	0	0
thủ môn	1	0	0	0	0
thử nghiệm	0	1	0	0	0
thủ quân	1	0	0	0	0
thu thập	0	0	1	0	0
thủ thư	1	0	0	0	0
thủ tục	0	0	1	0	0
thú vị	0	0.33333334	0	0	1
thua	1	0	0	0	0
thừa	1	0	0	0	0
thua lỗ	0	0	0	1	0
thừa nhận	0	0	1	0	0
thuần	0	0	0	1	0
thuần khiết	1	0	0	0	0
thuật	1	0	0	0	0
thực	1	1	1	1	0
thực chất	0	0	0	0	1
thúc đẩy	0	0	0	1	0
thực hiện	0	0.25	1	0	0
thực ra	0	0	0	0	1
thực sự	0.5	0	0	0	1
thực thụ	0	0	0	0	1
thuê	0	0	0.5	1	0.5
thuế	0	0	0	1	0
thuốc	1	0	0	0	0
thuộc	0	0	0	1	0
thương	0	0.083333336	1	0.083333336	0.083333336
thường	0.33333334	0.33333334	0	0	1
thượng	1	0	0	0	0
thương hiệu	0	0	0	1	0
thương mại	0	1	1	1	0
thương mại điện tử	0	1	0	0	0
thường ngày	0	1	0	0	0
thường xuyên	0	0	0	1	1
thuyết	0	0	1	0	0
thuyết phục	0	0	0	0	1
tích	1	0	0	0	0
tích cực	0	0.5	0	1	0
tích hợp	0	1	0	0	0
tiềm	1	0	0	0	0
tiềm năng	0	0	0	1	0
tiềm tàng	0	0	0	0	1
tiến	0.5	0	0	0	1
tiền	0.33333334	0	0.16666667	1	0.6666667
tiến bộ	1	0	0	0	1
tiền đạo	1	0	0	0	0
tiến độ	0	0	0	1	0
tiện ích	0	0	0	1	0
tiền nhiệm	0	1	0	0	0
tiên phong	0	0	1	0	0
tiếng	1	0	0	0	0
tiếng là	0	0	0	0	1
tiếng vang	0	0	0	1	0
tiếp	1	0	0	0	0.14285715
tiếp cận	0	1	0	1	0
tiếp theo	1	0	0	0.6666667	0.6666667
tiếp tục	0	0	1	1	1
tiết kiệm	0	0	1	0	0
tiết lộ	0	1	0	0	0.5
tiêu	0	0	0	0	1
tiểu	0	0	0	1	0
tiêu biểu	1	0	0	0	0
tiêu chí	0	0	0	1	0
tiêu chuẩn	0	0	0	1	0
tiêu diệt	0	0	0	0	1
tiêu dùng	0	0	0	0	1
tiêu thụ	0	0	0	1	0
tim	0	1	0	0	0
tìm	0	1	0	0	1
tìm hiểu	0	0	0	1	0
tìm kiếm	0	0	0	1	0.5
tin	1	1	0	1	0
tin cậy	0	0	0	1	0
tín hiệu	0	0	0	0	1
tin học	0	0	0	1	0
tin tưởng	1	0	0	0	0
tinh	0	0	0	1	0
tính	0	0.25	0	1	0.5
tỉnh	0	0	1	0.5	0
tính chất	0	0	0	0	1
tình hình	0	1	0	0	0
tinh hoa	0	0	1	0	0
tình huống	1	0	0	0	0
tính năng	0	1	0	0	0
tinh quái	0	0	0	0	1
tỉnh táo	0	0	0	0	1
tình thế	1	0	0	0	0
tình trạng	0	1	0	0	0
tính từ	0	0	0	1	0
tố	0	0	1	0	0
tỏ	0.5	0.5	0	0	1
tố cáo	0	0	1	0	0
tổ chức	0	0	0	1	0
tố giác	0	0	1	0	0
tổ quốc	0	0	0	0	1
tố tụng	0	0	1	0	0
toán	0	0	1	0	0
toàn	0	0	0	1	0
toàn bộ	0	1	0	1	1
toàn cầu	0	1	0	0	0
toàn diện	0	0	0	1	0
tốc	1	0	0	0	0
tôi	0.33333334	0.6666667	1	0	0
tối	1	0	0.33333334	0	0
tới	0.375	0.625	0.125	0.125	1
tội	0	0	1	0	0
tối cao	0	0	1	0	0
tối giản	0	0	0	1	0
tối thiểu	0	0	0	1	0
tốn	0	1	0	0	0
tồn kho	0	0	0	1	0
tồn tại	0	1	0	0	1
tôn trọng	1	0	0	0	0
tống	0	0	1	0	0
tổng	0.33333334	0	0	1	0
tổng cộng	0	0	0	1	1
tổng công ty	0	0	1	0	0
tổng đài	0	1	0	0	0
tổng giám đốc	0	0	1	0	0
tổng hợp	0	0	0	0	1
top	0	0.16666667	0	0	1
tốt	1	0.25	0	0	0.5
tour	1	0	0	0	0
trả	0	0	0.6666667	1	0.33333334
trả lời	0	0.6666667	1	0	0
trai	0	0	0	0	1
trái	1	0	0.33333334	0	0
trải	0	0.5	0	0.5	1
trái đất	0	1	0	0	0
trái phiếu	0	0	0	1	0
trăm	0	0.5	0	1	0
trần	0	0	0	1	0
trận	1	0	0	0	0.07692308
trang	1	0.5	0.5	0	0
trắng	0	1	0	0	0
trang bị	0	1	0	0	0
trang thiết bị	0	0	0	1	0
trắng toát	0	1	0	0	0
trang trại	1	0	0	0	0
tranh	0	0	1	0	1
tranh cãi	0	0	1	0	0
tranh chấp	0	0	1	0	0
tre	0	0	1	0	0
trẻ	1	0	0	0.5	0.5
trên	1	1	0.13333334	0.8	0.6
treo	1	0	0	1	0
trí	0	0	1	0	0
trị	0	0	0	1	0
trị giá	0	1	0	0	0
trích dẫn	1	0	0	0	0
triển khai	0	1	0	0	0
triển vọng	0	1	0	0	0
triệt để	0	0	1	0	0
triệu	0	0.5714286	0.14285715	1	0
triệu hồi	0	0	0	0	1
trình	0	0	1	0	0
trình bày	0	0	1	0	0
trình diễn	0	0	0	0	1
trình độ	0	0	0	0	1
